Dim,Key,TempoM,SD
2832,1,0.046898,0.108445
2842,1,0.049642,0.109323
2852,1,0.047442,0.110348
2862,1,0.048357,0.111229
2872,1,0.048405,0.112148
2882,1,0.049734,0.113057
2892,1,0.049042,0.114027
2902,1,0.050704,0.114944
2912,1,0.051867,0.115941
2922,1,0.050066,0.116992
2932,1,0.053143,0.117923
2942,1,0.051068,0.119019
2952,1,0.050744,0.119976
2962,1,0.052295,0.120902
2972,1,0.052213,0.121901
2982,1,0.051998,0.122881
2992,1,0.052564,0.123835
3002,1,0.052557,0.124806
3012,1,0.052933,0.125763
3022,1,0.055444,0.126727
3032,1,0.05401,0.127819
3042,1,0.054146,0.128814
3052,1,0.054296,0.129802
3062,1,0.054789,0.130784
3072,1,0.055208,0.13178
3082,1,0.055605,0.132784
3092,1,0.055592,0.133797
3102,1,0.056191,0.134794
3112,1,0.058691,0.13581
3122,1,0.056712,0.136952
3132,1,0.057818,0.137967
3142,1,0.057414,0.139028
3152,1,0.057191,0.140053
3162,1,0.058326,0.141052
3172,1,0.058716,0.142098
3182,1,0.059195,0.143151
3192,1,0.062083,0.144216
3202,1,0.060364,0.145426
3212,1,0.065099,0.146524
3222,1,0.060234,0.147877
3232,1,0.061172,0.148935
3242,1,0.061897,0.15003
3252,1,0.061802,0.151148
3262,1,0.06484,0.152247
3272,1,0.064447,0.153498
3282,1,0.064702,0.154709
3292,1,0.063958,0.155918
3302,1,0.063965,0.15707
3312,1,0.064347,0.158207
3322,1,0.065093,0.159349
3332,1,0.066934,0.160516
3342,1,0.074865,0.161768
3352,1,0.065393,0.163476
3362,1,0.06711,0.164608
3372,1,0.067237,0.165815
3382,1,0.067226,0.167014
3392,1,0.067243,0.168197
3402,1,0.069338,0.169365
3412,1,0.068153,0.17063
3422,1,0.068327,0.171815
3432,1,0.067768,0.172994
3442,1,0.069023,0.17413
3452,1,0.070345,0.175317
3462,1,0.069324,0.176557
3472,1,0.076829,0.177729
3482,1,0.082103,0.179298
3492,1,0.072333,0.181167
3502,1,0.071407,0.18244
3512,1,0.071888,0.18365
3522,1,0.072121,0.184869
3532,1,0.081645,0.186086
3542,1,0.076191,0.187816
3552,1,0.0732,0.18921
3562,1,0.071976,0.190431
3572,1,0.074451,0.191577
3582,1,0.074576,0.192832
3592,1,0.077873,0.194079
3602,1,0.075918,0.195481
3612,1,0.075877,0.196764
3622,1,0.076732,0.19803
3632,1,0.078027,0.199324
3642,1,0.078276,0.200669
3652,1,0.080051,0.20201
3662,1,0.077879,0.203427
3672,1,0.078559,0.204715
3682,1,0.076997,0.206023
3692,1,0.079924,0.207238
3702,1,0.079875,0.208584
3712,1,0.082454,0.209912
3722,1,0.081377,0.211356
3732,1,0.081701,0.212727
3742,1,0.081895,0.214099
3752,1,0.081946,0.215464
3762,1,0.082742,0.216816
3772,1,0.085253,0.218192
3782,1,0.08298,0.21968
3792,1,0.083723,0.221036
3802,1,0.082555,0.222412
3812,1,0.084663,0.223717
3822,1,0.085026,0.225109
3832,1,0.088218,0.226504
3842,1,0.086318,0.228044
3852,1,0.086242,0.22947
3862,1,0.08792,0.230875
3872,1,0.087513,0.232349
3882,1,0.090376,0.233785
3892,1,0.087846,0.235349
3902,1,0.089224,0.236768
3912,1,0.091349,0.238239
3922,1,0.089569,0.2398
3932,1,0.089907,0.241255
3942,1,0.093016,0.24271
3952,1,0.092035,0.244303
3962,1,0.091116,0.245829
3972,1,0.092627,0.247294
3982,1,0.092457,0.248815
3992,1,0.094741,0.250312
4002,1,0.092908,0.251905
4012,1,0.093891,0.25339
4022,1,0.094043,0.254907
4032,1,0.094695,0.256414
4042,1,0.101599,0.257937
4052,1,0.104419,0.259793
4062,1,0.097113,0.261779
4072,1,0.096618,0.263363
4082,1,0.096872,0.264906
4092,1,0.108277,0.266445
4102,1,0.097526,0.268558
4112,1,0.099092,0.27009
4122,1,0.099035,0.271682
4132,1,0.101349,0.273254
4142,1,0.101016,0.274921
4152,1,0.100341,0.276554
4162,1,0.102783,0.278137
4172,1,0.102815,0.279821
4182,1,0.112925,0.281489
4192,1,0.10206,0.283661
4202,1,0.101738,0.285254
4212,1,0.103417,0.286815
4222,1,0.103198,0.288439
4232,1,0.106659,0.290036
4242,1,0.10636,0.291781
4252,1,0.105391,0.293494
4262,1,0.105854,0.295143
4272,1,0.108265,0.296796
4282,1,0.106995,0.298548
4292,1,0.107582,0.30022
4302,1,0.108581,0.301904
4312,1,0.107892,0.303617
4322,1,0.111497,0.30528
4332,1,0.11079,0.307098
4342,1,0.109998,0.308863
4352,1,0.110006,0.310572
4362,1,0.112832,0.312265
4372,1,0.111114,0.314074
4382,1,0.112676,0.315783
4392,1,0.112346,0.317548
4402,1,0.114676,0.31928
4412,1,0.115684,0.321104
4422,1,0.113608,0.322958
4432,1,0.115008,0.324695
4442,1,0.116678,0.326481
4452,1,0.115232,0.328326
4462,1,0.115638,0.330086
4472,1,0.114734,0.331847
4482,1,0.118338,0.333551
4492,1,0.134622,0.335403
4502,1,0.118534,0.338072
4512,1,0.118816,0.339891
4522,1,0.128214,0.341705
4532,1,0.123578,0.343955
4542,1,0.118068,0.345953
4552,1,0.120932,0.347678
4562,1,0.123728,0.349515
4572,1,0.122284,0.351463
4582,1,0.122094,0.353326
4592,1,0.122926,0.355162
4602,1,0.126122,0.357018
4612,1,0.123246,0.359004
4622,1,0.122976,0.360839
4632,1,0.124532,0.362645
4642,1,0.127596,0.364503
4652,1,0.126488,0.366484
4662,1,0.127124,0.368395
4672,1,0.126652,0.370317
4682,1,0.129122,0.372199
4692,1,0.127652,0.374176
4702,1,0.126878,0.376067
4712,1,0.131238,0.377907
4722,1,0.130016,0.379926
4732,1,0.130638,0.38187
4742,1,0.131148,0.383825
4752,1,0.133802,0.385784
4762,1,0.131406,0.387845
4772,1,0.130298,0.389779
4782,1,0.132804,0.391646
4792,1,0.136894,0.393607
4802,1,0.13388,0.395736
4812,1,0.136326,0.397708
4822,1,0.136954,0.399771
4832,1,0.135352,0.401844
4842,1,0.134638,0.403826
4852,1,0.136532,0.405759
4862,1,0.152142,0.407758
4872,1,0.137752,0.410483
4882,1,0.138338,0.412495
4892,1,0.151432,0.414514
4902,1,0.139102,0.41713
4912,1,0.139684,0.419143
4922,1,0.143456,0.421164
4932,1,0.143616,0.423334
4942,1,0.142624,0.425492
4952,1,0.142692,0.427586
4962,1,0.144978,0.429664
4972,1,0.143538,0.431825
4982,1,0.142158,0.433903
4992,1,0.147096,0.435904
5002,1,0.145338,0.438103
5012,1,0.18776,0.440204
5022,1,0.19164,0.444526
5032,1,0.191314,0.44903
5042,1,0.198468,0.453452
5052,1,0.203858,0.458264
5062,1,0.153022,0.463358
5072,1,0.152758,0.465604
5082,1,0.153056,0.467818
5092,1,0.1508,0.470026
5102,1,0.15479,0.47212
5112,1,0.15338,0.474366
5122,1,0.15264,0.476532
5132,1,0.155392,0.478649
5142,1,0.153042,0.480864
5152,1,0.153294,0.482962
5162,1,0.158934,0.485054
5172,1,0.17088,0.487367
5182,1,0.155842,0.490205
5192,1,0.16617,0.492344
5202,1,0.157884,0.494915
5212,1,0.157806,0.497102
5222,1,0.160884,0.499268
5232,1,0.159332,0.501545
5242,1,0.159252,0.503739
5252,1,0.162128,0.505911
5262,1,0.160308,0.508186
5272,1,0.16285,0.510366
5282,1,0.164828,0.512634
5292,1,0.162958,0.514967
5302,1,0.163276,0.517202
5312,1,0.166158,0.519433
5322,1,0.164196,0.521765
5332,1,0.166212,0.523997
5342,1,0.16874,0.526295
5352,1,0.166768,0.52868
5362,1,0.166762,0.530963
5372,1,0.170054,0.533228
5382,1,0.167854,0.535611
5392,1,0.16962,0.537884
5402,1,0.172294,0.540211
5412,1,0.170074,0.542632
5422,1,0.172908,0.544941
5432,1,0.170954,0.547348
5442,1,0.169818,0.549656
5452,1,0.182136,0.551899
5462,1,0.1766,0.554646
5472,1,0.173604,0.55713
5482,1,0.192252,0.55947
5492,1,0.173092,0.56261
5502,1,0.178932,0.564889
5512,1,0.177664,0.567389
5522,1,0.177276,0.569817
5532,1,0.17986,0.572209
5542,1,0.178548,0.57469
5552,1,0.178936,0.577096
5562,1,0.182296,0.5795
5572,1,0.181204,0.582024
5582,1,0.18066,0.584482
5592,1,0.183236,0.586899
5602,1,0.180332,0.589403
5612,1,0.186248,0.59177
5622,1,0.185348,0.59436
5632,1,0.184244,0.596892
5642,1,0.195728,0.59936
5652,1,0.185196,0.602293
5662,1,0.19858,0.604759
5672,1,0.189064,0.607771
5682,1,0.187056,0.610353
5692,1,0.189696,0.612834
5702,1,0.187392,0.615403
5712,1,0.199852,0.617859
5722,1,0.200768,0.620815
5732,1,0.217512,0.623787
5742,1,0.193008,0.627503
5752,1,0.191532,0.630098
5762,1,0.19504,0.632614
5772,1,0.19402,0.635252
5782,1,0.19594,0.637829
5792,1,0.194248,0.640464
5802,1,0.195132,0.643012
5812,1,0.19872,0.645576
5822,1,0.197376,0.648264
5832,1,0.199524,0.650878
5842,1,0.197936,0.65356
5852,1,0.20078,0.656158
5862,1,0.206376,0.65885
5872,1,0.205136,0.661751
5882,1,0.203324,0.664579
5892,1,0.201168,0.667311
5902,1,0.205448,0.669938
5912,1,0.203024,0.672715
5922,1,0.206,0.675376
5932,1,0.204312,0.678135
5942,1,0.204064,0.680807
5952,1,0.221856,0.68345
5962,1,0.206956,0.686814
5972,1,0.221008,0.689529
5982,1,0.206516,0.692805
5992,1,0.212196,0.69546
6002,1,0.21036,0.698321
6012,1,0.209892,0.701088
6022,1,0.219564,0.703816
6032,1,0.224828,0.706916
6042,1,0.21416,0.710215
6052,1,0.213112,0.713047
6062,1,0.21536,0.715818
6072,1,0.213884,0.718657
6082,1,0.218148,0.721418
6092,1,0.22114,0.724328
6102,1,0.2183,0.727337
6112,1,0.218928,0.730209
6122,1,0.221228,0.733086
6132,1,0.221688,0.736034
6142,1,0.219804,0.738979
6152,1,0.221568,0.741828
6162,1,0.219196,0.744726
6172,1,0.235736,0.747512
6182,1,0.222332,0.750949
6192,1,0.23532,0.753813
6202,1,0.222808,0.757182
6212,1,0.230752,0.760023
6222,1,0.224552,0.763156
6232,1,0.229452,0.766023
6242,1,0.225744,0.769061
6252,1,0.228796,0.771933
6262,1,0.227876,0.774903
6272,1,0.230048,0.777817
6282,1,0.228748,0.780794
6292,1,0.231468,0.783701
6302,1,0.232892,0.786694
6312,1,0.233964,0.78972
6322,1,0.231844,0.792767
6332,1,0.231476,0.795711
6342,1,0.23876,0.798621
6352,1,0.23556,0.801794
6362,1,0.238368,0.80482
6372,1,0.239708,0.807934
6382,1,0.254612,0.811078
6392,1,0.257152,0.81481
6402,1,0.243108,0.818622
6412,1,0.255516,0.821828
6422,1,0.306508,0.825516
6432,1,0.256184,0.831624
6442,1,0.24514,0.835271
6452,1,0.24602,0.838447
6462,1,0.24796,0.841636
6472,1,0.245376,0.844878
6482,1,0.258876,0.847998
6492,1,0.261684,0.851632
6502,1,0.248948,0.855356
6512,1,0.249252,0.858544
6522,1,0.247432,0.861722
6532,1,0.250296,0.86481
6542,1,0.249096,0.867985
6552,1,0.264068,0.871094
6562,1,0.250592,0.87477
6572,1,0.26248,0.877891
6582,1,0.251316,0.881453
6592,1,0.25982,0.884559
6602,1,0.252708,0.887969
6612,1,0.25528,0.891084
6622,1,0.25394,0.894275
6632,1,0.25772,0.897396
6642,1,0.256508,0.900638
6652,1,0.260652,0.903813
